"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"83","Wtfomgroflol","705711$6.71%705.7k","-","-","82.62%","755.6",""
"69","Kopis","617332$5.87%617.3k","-","64","88.45%","661.0",""
"66","Backtap","593494$5.65%593.5k","72","60","85.24%","635.5",""
"70","Thugtug","562212$5.35%562.2k","-","76","82.79%","602.0",""
"62","Apl","548252$5.22%548.3k","-","61","83.68%","587.0",""
"60","Thragg","510708$4.86%510.7k","-","58","86.84%","546.8",""
"52","High Overlord Saurfang","501296$4.77%501.3k","-","47","81.99%","536.8",""
"57","Morious","495595$4.72%495.6k","-","54","82.98%","530.7",""
"55","Vurke","491667$4.68%491.7k","63","66","87.36%","526.4",""
"52","Maxotik","471858$4.49%471.9k","-","46","85.96%","505.2",""
"45","Keedz","442797$4.21%442.8k","-","61","86.63%","474.1",""
"52","Cdr","420722$4.00%420.7k","-","49","63.45%","450.5",""
"28","Garbino","352195$3.35%352.2k","-","29","78.06%","377.1",""
"55","Borey","338625$3.22%338.6k","-","57","86.14%","362.6",""
"53","Apefromtree","317591$3.02%317.6k","-","53","70.50%","340.1",""
"51","Jazzy","314106$2.99%314.1k","-","43","70.51%","336.3",""
"19","Guine","306031$2.91%306.0k","65","24","74.53%","327.7",""
"46","Smartorc","297655$2.83%297.7k","-","59","73.90%","318.7",""
"38","Hempin","290823$2.77%290.8k","-","45","71.32%","311.4",""
"47","Magemonygang","288180$2.74%288.2k","67","52","62.13%","308.6",""
"35","Matt","230076$2.19%230.1k","-","45","73.86%","246.4",""
"39","Johnypockets","219462$2.09%219.5k","66","46","58.02%","235.0",""
"37","Badelemental","185454$1.76%185.5k","-","56*","62.68%","198.6",""
"14","Okanejutsú","178574$1.70%178.6k","59","33","48.35%","191.2",""
"8","Carsonchick","173207$1.65%173.2k","68","7","60.44%","185.5",""
"18","Loco","170127$1.62%170.1k","-","13","42.06%","182.2",""
"27","Tazondeleche","166669$1.59%166.7k","64","33","58.75%","178.5",""
"15","Cyphér","154453$1.47%154.5k","65","18","56.61%","165.4",""
"11","Guldanger","122898$1.17%122.9k","-","41*","51.60%","131.6",""
"64","Prayers","21396$0.20%21.4k","-","67","3.60%","22.9",""
"91","Farore","8734$0.08%8.7k","71","91","0.00%","9.4",""
"91","Sweatydumps","6714$0.06%6.7k","-","94","14.47%","7.2",""
"92","Redcow","2564$0.02%2.6k","-","94","1.73%","2.7",""
"93","Veedor","2473$0.02%2.5k","-","95","0.87%","2.6",""
"73","Arz","1084$0.01%1.1k","75","79","1.21%","1.2",""
"62","Hempress","198$0.00%198.0","-","61","0.00%","0.2",""
