"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"89","Sweatydumps","399352$18.11%399.4k","37.15%","-","86","93.28%","427.6",""
"84","Redcow","299552$13.58%299.6k","44.78%","-","74","90.98%","320.7",""
"65","Majinbu","223854$10.15%223.9k","35.47%","69","68","65.68%","239.7",""
"80","Prayers","223437$10.13%223.4k","54.35%","-","69","59.78%","239.2",""
"57","Creasey","167242$7.58%167.2k","45.09%","-","73","77.34%","179.1",""
"46","Farore","157040$7.12%157.0k","44.78%","71","46","64.92%","168.1",""
"44","Arz","143559$6.51%143.6k","59.70%","75","40","71.32%","153.7",""
"42","Hempress","133499$6.05%133.5k","60.44%","-","45","54.66%","142.9",""
"49","Alphå","131274$5.95%131.3k","60.82%","67","52","70.47%","140.6",""
"41","Veedor","127665$5.79%127.7k","33.85%","-","52","56.35%","136.7",""
"92","Jazzy","22678$1.03%22.7k","3.01%","-","93","13.99%","24.3",""
"84","Okanejutsú","16346$0.74%16.3k","5.77%","59","82","11.20%","17.5",""
"76","Cyphér","12488$0.57%12.5k","-","65","73","8.36%","13.4",""
"48","Morious","12253$0.56%12.3k","22.74%","-","46","58.50%","13.1",""
"63","Johnypockets","10285$0.47%10.3k","-","66","63","5.98%","11.0",""
"62","Keedz","9225$0.42%9.2k","42.08%","-","57","65.19%","9.9",""
"65","Vurke","9109$0.41%9.1k","39.37%","63","61","67.73%","9.8",""
"51","Thragg","8247$0.37%8.2k","52.22%","-","51","75.95%","8.8",""
"59","Kopis","7793$0.35%7.8k","43.47%","-","62","70.81%","8.3",""
"66","Cdr","7708$0.35%7.7k","38.46%","-","67","18.38%","8.3",""
"54","Backtap","7448$0.34%7.4k","51.99%","72","55","62.78%","8.0",""
"54","Apl","7433$0.34%7.4k","48.10%","-","53","69.13%","8.0",""
"70","Tazondeleche","7303$0.33%7.3k","35.16%","64","76","6.95%","7.8",""
"47","Carsonchick","7195$0.33%7.2k","24.59%","68","45","22.86%","7.7",""
"64","Borey","6507$0.30%6.5k","50.60%","-","64","80.19%","7.0",""
"66","Thugtug","6036$0.27%6.0k","18.14%","-","69","8.96%","6.5",""
"43","Magemonygang","5747$0.26%5.7k","-","67","43","3.99%","6.2",""
"67","Wtfomgroflol","5497$0.25%5.5k","41.89%","-","-","16.60%","5.9",""
"49","Hempin","4500$0.20%4.5k","53.17%","-","50","58.24%","4.8",""
"52","Apefromtree","4482$0.20%4.5k","55.00%","-","53","60.94%","4.8",""
"39","High Overlord Saurfang","3987$0.18%4.0k","54.41%","-","39","45.47%","4.3",""
"89","Guine","3955$0.18%4.0k","-","65","87","0.00%","4.2",""
"42","Garbino","3502$0.16%3.5k","56.57%","-","41","53.11%","3.7",""
"43","Matt","3489$0.16%3.5k","55.57%","-","46","39.07%","3.7",""
"39","Loco","3064$0.14%3.1k","4.25%","-","40","1.09%","3.3",""
"59","Maxotik","1267$0.06%1.3k","34.49%","-","58","2.95%","1.4",""
"50","Guldanger","1013$0.05%1.0k","27.33%","-","68","0.00%","1.1",""
